Application No,Title,Class,Applicant,Agent,Filing Date
12345678,SUPERBRAND COFFEE,30,Superbrand Holdings Ltd,Smith & Associates IP,2025-03-15
98765432,TURBOTECH SOLUTIONS,42,Turbotech Innovations Pte Ltd,Lee Patent Firm,2025-04-01
11223344,GOLDEN HARVEST FOODS,29,Golden Harvest International,Chan & Partners,2025-04-10
55667788,APEX LOGISTICS PRO,39,Apex Global Logistics Sdn Bhd,Kumar IP Services,2025-04-22
44332211,BLUEWAVE COSMETICS,03,Bluewave Beauty Holdings,Lim & Tan Associates,2025-05-05
99887766,IRONCLAD SECURITY,45,Ironclad Systems Ltd,Ng Patent Office,2025-05-12
22334455,SUNRISE PHARMA PLUS,05,Sunrise Pharmaceutical Group,Patel IP Consultants,2025-05-20
66778899,CRAFTMASTER TOOLS,07,Craftmaster Industrial Co,Wong & Lee Law,2025-06-01
33445566,DIGITAL MINDS AI,42,Digital Minds Technology Inc,Harris IP Group,2025-06-08
77889900,NATURE PURE WELLNESS,05,Nature Pure Health Products,Ahmad & Co,2025-06-15
